Titular,Cuerpo,Fecha_Publicada,N_Parrafos
       El turismo internacional en México creció un  interanual en septiembre   ,   Ciudad de México nov EFE México recibió en septiembre pasado un  más de turistas internacionales que en el mismo mes de acompañado de un incremento mayor al en los ingresos económicos por este rubro informó este lunes el Instituto Nacional de Estadística y Geografía Inegi     Al país llegaron millones de turistas extranjeros en el noveno mes de comparado con los millones del mismo lapso del año anterior según el informe del organismo autónomo    El principal incremento anual sucedió en los turistas fronterizos que en septiembre crecieron un  interanual hasta los millones    En contraste los que llegaron por vía aérea decrecieron un  hasta los millones mientras que el resto fueron turistas que se internaron por vía terrestre o cruceros    El gasto total de los turistas internacionales se elevó en septiembre un  interanual al pasar a millones de dólares    En contraste el gasto medio de cada turista cayó un  interanual hasta los dólares en septiembre pasado    Los datos reflejan la tendencia al alza del turismo en México que tuvo millones de turistas internacionales durante un más que en     El ingreso de divisas por visitantes internacionales en fue de millones de dólares casi un más que el año anterior    La economía relacionada con el turismo que el Inegi llama producto interior bruto PIB turístico creció un  anual en el primer trimestre de impulsada en particular por los servicios y los turistas nacionales    México fue el sexto país más visitado en el mundo en y según afirman el Gobierno y empresarios con base en datos de la Organización Mundial del Turismo  ,11 de noviembre de 2024,10
       Especialistas internacionales en la COP destacan el liderazgo climático de España   ,   Bakú nov EFE Especialistas en diplomacia climática de diversos países manifestaron en la cumbre del clima de Bakú COP inaugurada hoy su expectativa de que España asuma su liderazgo climático dadas las trágicas inundaciones en Valencia al este del país con más de muertos y la trayectoria del Gobierno español en la transición energética según valoraron    Así lo recalcaron en un encuentro con periodistas varios analistas de Estados Unidos Kenia y Reino Unido en que exigieron a los países reunidos en la capital azerí estos días ambición climática y compromisos firmes en materia de financiación pero también de mitigación del calentamiento reducción de emisiones y de adaptación    Los expertos lamentaron las consecuencias climáticas que se han producido en los últimos meses en el mundo y entre ellas las inundaciones en Valencia a finales de octubre que constituyen el desastre natural más mortífero en Europa de este siglo     Los impactos del cambio climático son reales están aquí y ahora no en el futuro y están aumentando a un ritmo devastador aseguró desde el think tank EG el especialista estadounidense Alden Meyer quien agregó Si hubiéramos hecho más en los últimos años podríamos haber evitado algunos de esos impactos pero no lo hicimos     Así el mundo tiene que dar un paso al frente y afrontar este problema dijo algo que pasa por atajar no sólo la demanda de los combustibles fósiles sino también la oferta reduciendo la producción recalcó    Lo ocurrido en Valencia envía una señal al mundo de que nadie puede librarse Todo el mundo se verá afectado y afectará más si seguimos retrasando la acción aseguró por su parte el experto climático keniata Joab Okanda     Pueden imaginarse los esfuerzos que le ha costado al Gobierno español responder a esa crisis y eso que es un gobierno que tiene el espacio fiscal para responder imaginen la situación en países de África con un espacio fiscal muy limitado y que están constreñidos por la deuda zanjó Okanda    Aún sin haber escuchado aún las declaraciones del presidente del Gobierno español Pedro Sánchez que se espera intervenga este martes junto a otros líderes mundiales los especialistas afirmaron que el liderazgo español está para trabajar realmente con el resto para encontrar una manera de desbloquear la financiación con la que hacer frente a esta crisis dijo Okanda    Pero recordó Cualquier paquete financiero que se acuerde no debería añadir una carga de deuda a países que ya tienen restricciones fiscales     Liderazgo español en la transición    Los especialistas resaltaron que el principal objetivo de esta cumbre es fijar una nueva meta colectiva y cuantificada de financiación climática que aumente el acceso y la cantidad de los fondos para costear la mitigación del calentamiento y sus impactos inevitables en todo el mundo    Pero más allá de las negociaciones sobre esta meta incidieron en que los estados deben avanzar en la agenda para cumplir con el histórico acuerdo de Dubái en el que en diciembre de las casi partes de la Convención Marco de Naciones Unidas sobre el Cambio Climático reunidas en la COP convinieron dejar atrás el petróleo el gas y el carbón     Mantener el aumento de la temperatura dentro de los límites aprobados en el Acuerdo de París requiere recortar en más del las emisiones en los próximos cinco años y aún más después si se quiere estar en línea con C subrayó Meyer algo que reconoció supone un reto enorme     Cambiar la economía mundial no se hace de la noche a la mañana dijo por su parte desde ECCO la experta Alex Scott quien recordó que España ha asumido el timón de la coorganización de la Cuarta Conferencia Internacional sobre Financiación para el Desarrollo que se celebrará entre junio y julio de y cuyo resultado será crítico para desbloquear la confianza en la financiación climática para ayudar a los países con sus trayectorias de desarrollo     Meyer valoró además el historial de España en la transición ecológica con un despliegue de las energías renovables ejecutado de manera justa y con beneficios sociales y señaló que espera que Sánchez envíe una fuerte señal al resto de países convidados en Bakú para acelerar la descarbonización y dar continuidad al multilateralismo climático  ,11 de noviembre de 2024,15
       Primer ministro libanés pide a comunidad internacional que ayude al Líbano a lograr tregua   ,   Riad nov EFE El primer ministro del Líbano Najib Mikati pidió este lunes a la comunidad internacional que presione con el Estado libanés para alcanzar un alto el fuego inmediato al tiempo que pidió apoyo al país en vez de a facciones en referencia velada al grupo chií Hizbulá     Hoy renovamos nuestro llamado a nuestros amigos de los países árabes e islámicos y a toda la comunidad internacional para que presionen con nosotros para alcanzar un alto el fuego inmediato dijo el libanés en Riad durante la apertura de la cumbre de líderes de países árabes e islámicos    Asimismo urgió a los países de Oriente Medio y del resto del mundo a que respeten la privacidad del Líbano y apoyen su modelo pluralista en una aparente alusión a los llamados de Occidente a que el país mediterráneo nombre a un nuevo jefe de Estado como condición previa a la negociación de un alto el fuego     También pidió que se abstengan de interferir en sus asuntos internos apoyando a este o a aquel grupo y que más bien apoyen al Líbano como Estado y entidad dijo Mikati que a mediados de octubre acusó a Irán el principal aliado de Hizbulá de intentar establecer una tutela inaceptable en el país mediterráneo    El jefe del Ejecutivo libanés recordó que en el último año de guerra con Israel más de personas han muerto y gran parte de las localidades del sur del país han sido destruidas así como otras zonas más alejadas de la divisoria con el Estado judío     El Líbano atraviesa una crisis histórica fatídica y sin precedentes que amenaza su presente y su futuro que reconoció que los ataques de Israel se suman a una serie de desafíos estructurales y crisis acumuladas en los pasados años principalmente provocadas por la corrupción endémica    En este sentido recordó que según estimaciones del Banco Mundial los daños y pérdidas materiales hasta la fecha ascienden a unos millones de dólares de los que millones son en los sectores de educación salud agricultura y medio ambiente entre otros     Ningún país puede soportar por sí solo el peso de esta destrucción masiva y mucho menos el Líbano que lleva cinco años enfrentando una crisis económica y financiera sin precedentes y que empeora sentenció Mikati EFE    sa sr cgs ijm jam  ,11 de noviembre de 2024,9
       El actor y cómico Julián López levantará el telón del Festival Internacional de Cine de Xixón que este año proyectará títulos   ,   Gijón vuelve a convertirse un año más y ya van ediciones en capital del cine independiente durante ocho días los que dura su certamen más internacional el FICX El Festival Internacional de Cine levantará el telón en el teatro Jovellanos el próximo viernes de noviembre con una gala inaugural conducida por el actor Julián López quien recientemente ha sido reconocido por la crítica gracias su interpretación en el último trabajo de Pilar Palomero programado dentro de los pases especiales del certamen Los Destellos     Del al de noviembre el FICX proyectará títulos largometrajes y cortos seleccionados entre un total de según contaba durante la presentación de este viernes el programador del certamen Tito Rodríguez Un certamen del que su director Alejandro Díaz Castaño destaca sobre todo el trabajo que cada año desarrolla el equipo al completo con el objetivo de construir comunidad    Esta edición arrancará con un cortometraje de producción canadiense Dirigido por Lope Serrano y con un cartel de cameos de lujo entre los que encontraremos a los cineastas J A Bayona o Albert Serra y un elenco compuesto por Bárbara Lennie Berta Prieto y Omar Ayuso La causa del accidente que provocó el incendio será la cinta que precederá a Gloria un musical italiano aclamado en la Berlinale y que homenajea la memoria de las mujeres compositoras a lo largo de la historia    Durante la gala inaugural además el precursor del cine underground español y francés Aldo Arrieta recibirá el Premio de Honor FICX mientras que la icónica actriz mallorquina Rossy de Palma verá reconocida su trayectoria con el V Premio Isaac del Rivero que lleva el nombre del creador del festival    Ya en el acto de clausura será el momento de entregar el Premio Especial Generación Mutante a la actriz danesa Lone Fleming en reconocimiento a su extensa trayectoria y el Premio Comadre de Cine a la directora y guionista catalana Carla Simón laureada por sus trabajos Estíu y Alcarrás Por su parte la directora griega Athina Rachel Tsangari recibirá el Premio de Honor FICX     Una oda al cine mudo será la cinta elegida para clausurar el festival Silent Trilogy del finlandés Juho Kuosmanen    Casi cineastas pasarán por la ciudad durante el FICX que completa su programación con los seis títulos que integran sus Pases Especiales Athina Tsangari presenta Harvest una oscura fábula estrenada en el Festival de Venecia y la española Pilar Palomero reconocida por la crítica como una de las cineastas más interesantes de nuestro país vuelve a Gijón con Los destellos   En la alcoba del sultán de Javier Rebollo Generación Xixón Sound del realizador asturiano Aure Roces La Gran Manzada de David de la Cruz y Rolling Thunder del estadounidense John Flynn son los títulos que completan los pases de esta edición    El FICX duplica en esta edición la oferta de actividades complementarias que acompañarán a las proyecciones durante los ocho días de certamen perfilándose según sus organizadores como una de las más destacadas en la historia del festival     Habrá cinco exposiciones entre ellas una de Jean Luc Godard otra de carteles de cine de la colección del Muséu del Pueblu D Asturies o una muestra sobre mujeres en el cine    La directora Carla Simón impartirá una Masterclass y la actriz Assumpta Serna y el actor Scott Cleverdon presentarán sus libros Habrá mesas redondas proyecciones y conciertos además como novedad este año se presentará la primera edición del Altafulla International Film Festival Talleres charlas y encuentros con el público completarán esta edición que está a punto de comenzar  , 8 de noviembre de 2024 Actualizado el 11 11 2024,11
       Fundación ecuatoriana Jocotoco gana premio internacional que beneficiará a ave en peligro   ,   Quito nov EFE La Fundación ecuatoriana de conservación Jocotoco ganó el premio Saving Species Challenge Desafío para Salvar Especies que otorga el Zoológico de Indianápolis asegurándose así una subvención que potenciará sus acciones para salvar al colibrí Estrella de Garganta Azul que está en peligro crítico de extinción     El Zoológico de Indianápolis lanzó este desafío para financiar un plan destinado a mejorar el estatus de una especie catalogada como amenazada en la Lista Roja de la Unión Internacional para la Conservación de la Naturaleza UICN indicó este sábado la Fundación    La propuesta de Jocotoco centrada en la conservación del Estrella de Garganta Azul en su reserva Cerro de Arcos entre las provincias sureñas de El Oro y Loja superó a proyectos presentados de países cada uno con planes de cinco años orientados a revertir el declive de las especies de manera medible y sostenible    La mencionada especie de colibrí descubierta en y cuyo nombre científico es Oreotrochilus cyanolaemus tiene cabeza de color verde Sin embargo se distingue de otras seis especies de estrellas descritas por la particularidad de su cuello color azul profundo     Estamos asistiendo a un declive mundial de la biodiversidad y el zoo de Indianápolis está decidido a cambiar las cosas dijo su presidente y director general Robert Shumaker al apuntar que el objetivo de Saving Species Challenge es impulsar el cambio y servir de modelo para el papel de los zoológicos modernos en la conservación    Plan de acción de Jocotoco    El Estrella de Garganta Azul habita a altitudes superiores a los metros Se encuentra en parches de páramo arbustivo    Su metabolismo especializado adaptado a condiciones de frío y gran altitud requiere una cantidad considerable de néctar para satisfacer sus elevadas necesidades energéticas    Debido a la naturaleza montañosa y remota de su hábitat su distribución se limita a kilómetros cuadrados    La UICN lo ha clasificado como en peligro crítico principalmente por la pérdida de hábitat causada por la minería y los incendios forestales frecuentes Con menos de individuos maduros restantes su conservación es una prioridad urgente subraya Jocotoco    Para proteger al Estrella de Garganta Azul Jocotoco estableció la Reserva Cerro de Arcos en que actualmente cubre más de hectáreas    Haber ganado la subvención del premio permitirá a la Jocotoco ejecutar un proyecto de cinco años enfocado en restaurar y proteger el hábitat del colibrí monitorear su población utilizando métodos de conservación mejorados incluyendo inteligencia artificial y promover un cambio de comportamiento en la gestión del ecosistema del páramo mediante campañas de concientización ambiental    El plan de acción incluye la restauración y expansión del hábitat protegido el establecimiento de acuerdos de conservación con comunidades locales y la mejora de la disponibilidad de sitios de anidación adecuados para el mencionado colibrí     Trabajaremos en estrecha colaboración con las comunidades locales y ampliaremos la reserva para garantizar su supervivencia señaló Martin Schaefer director general de Jocotoco    Se mostró seguro de poder salvar al mencionado colibrí pues ya antes lo hicieron con el críticamente amenazado Matorralero cabecipálido Atlapetes pallidiceps  Cuando solo quedaban ejemplares Jocotoco protegió su último hábitat y la población se quintuplicó rápidamente recordó    Se refirió así al que fue considerado un caso de éxito mundialmente pues esa ave endémica estuvo considerada extinta durante varios años Sin embargo en Jocotoco encontró una pequeña población en Yunguilla y estableció la reserva en Yunguilla en la provincia del Azuay donde desarrolla planes de conservación  , 9 de noviembre de 2024,16
       Machado urge a la justicia internacional a intervenir en Venezuela   ,   Ciudad de México nov EFE La líder de la oposición venezolana María Corina Machado hizo este viernes un llamamiento a la justicia internacional para que actúe y disuada al régimen del presidente de Venezuela Nicolás Maduro a que detenga la persecución de ciudadanos y negocie con la oposición     Maduro se va a sentar a negociar el día en que el costo de quedarse aferrado a la fuerza en el poder sea más alto que el costo de aceptar una negociación para la transición Y no estamos ahí todavía señaló Machado durante su participación vía remota en el Foro América Libre realizado en la capital mexicana    De cara al de enero cuando está previsto que tome posesión el presidente electo como establece la Constitución venezolana Machado afirmó que seguirá luchando hasta el final y pidió el apoyo de los países del mundo    La líder opositora dijo que Maduro siente hoy que puede cometer todo tipo de abusos y crímenes de lesa humanidad y la reacción de la comunidad internacional será cero aunque reconoció que ha habido importantes declaraciones e informes de organizaciones de Derechos Humanos     Pero la justicia internacional tiene que actuar porque es la manera de disuadir a aquellos que hoy están siendo presionados por Maduro a continuar persiguiendo torturando y asesinando venezolanos sostuvo     Al elevar este costo de la represión nosotros los venezolanos podemos ejercer mucha más presión interna sin los costos que hemos asumido hasta ahora agregó en referencia a los miles de perseguidos por el gobierno tras las últimas elecciones    Asimismo en el plano diplomático pidió reconocer al excandidato opositor Edmundo González Urrutia como el presidente electo de Venezuela pese a que el presidente actual fue proclamado vencedor por el Consejo Nacional Electoral CNE en los comicios del pasado de julio     Hay que lograr presionar a que Nicolás Maduro entienda que la comunidad internacional no va a pasar la página El de julio es un antes y un después que no nos va a abandonar nunca y al igual que nosotros esta lucha tiene un solo destino la libertad de Venezuela y el regreso de nuestros hijos a casa insistió    Asimismo Machado agradeció a los países que han reconocido a González Urrutia entre ellos Argentina Chile y Ecuador    En su segunda edición este año el Foro América Libre reunió del al de noviembre representantes de países en la capital mexicana en busca ser un contrapeso al Foro de Sao Paulo que congrega a la izquierda latinoamericana  , 8 de noviembre de 2024,10
       La ultraderecha internacional canta victoria junto a Trump   ,   Redacción Internacional nov EFE Líderes de formaciones y gobiernos ultraderechistas internacionales hicieron suya este miércoles la victoria del republicano Donald Trump en las elecciones estadounidenses y se identificaron con sus postulados    De Argentina a Brasil de Italia a Hungría dirigentes ultranacionalistas y populistas cantaron victoria junto al candidato republicano estadounidense frente a la demócrata Kamala Harris    Milei pide a Trump que haga grande a América    El presidente de Argentina el ultraliberal Javier Milei felicitó a Trump por su éxito en los comicios y agregó que puede contar con Argentina para llevar a cabo su tarea     En un mensaje a través de su perfil de X y en inglés Milei pidió a Trump que Haga América Grande Otra Vez Usted sabe que puede contar con Argentina para llevar adelante su tarea Éxito y bendiciones     Bolsonaro eufórico    Un firme aliado del republicano estadounidense es el expresidente brasileño Jair Bolsonaro quien fue muy expresivo en la red X Gracias Dios mío y citó un salmo de la Biblia El llanto puede durar una noche pero la alegría llega a la mañana     En un largo mensaje posterior el exmandatario subraya que con la victoria de Trump somos testigos del resurgimiento de un verdadero guerrero Un hombre que incluso después de enfrentar un brutal proceso electoral en y una persecución judicial injustificable ha vuelto a levantarse como pocos en la historia lo han logrado     Satisfacción de la ultraderecha europea    Uno de los principales seguidores de Trump en Europa es el primer ministro de Hungría el ultranacionalista Viktor Orbán quien se congratuló de la victoria electoral del republicano estadounidense con quien dice tener grandes planes     Orbán fue el único jefe de Gobierno de la Unión Europea que apoyó a Trump en las elecciones de y de y ambos líderes que manifiestan mutuamente su admiración por el otro se reunieron por última vez el pasado de julio    La primera ministra italiana Giorgia Meloni felicitó este miércoles a Trump por su victoria en las elecciones presidenciales y se mostró convencida de que ahora se fortalecerá aún más el vínculo estratégico entre ambos países basado en una alianza inquebrantable valores comunes y una amistad histórica     Por su parte su vicepresidente Matteo Salvini se mostró eufórico ante lo que consideró un día histórico y resumió la ideología de Trump en Inmigración ilegal y bajada de impuestos defensa de las raíces cristianas y vuelta a la paz protección de la libertad de pensamiento y no a los juicios políticos     En Países Bajos gobierna una coalición de partidos de derecha y ultraderecha y su primer ministro Dick Schoof felicitó este miércoles al líder republicano al que tendió la mano para la cooperación en los intereses compartidos entre ambos países    Por su parte Geert Wilders líder del partido de derecha radical PVV principal socio de la coalición también mandó un mensaje de felicitación a Trump Felicidades América Nunca paren siempre sigan luchando    En España el presidente del partido ultraderechista Vox Santiago Abascal felicitó a Trump por su triunfo y resaltó la importancia del voto hispano en esta victoria del mundo libre     Es la hora de los patriotas y de la libertad dijo el líder de la tercera fuerza parlamentaria en España    El nacionalista Modi felicita a su amigo Trump    El primer ministro de la India el nacionalista Narendra Modi felicitó a su amigo Donald Trump y dijo esperar que la India y EE UU trabajen por el bienestar y para promover la paz la estabilidad y la prosperidad mundiales     Modi y Trump gozaron de una buena relación durante el tiempo en el que coincidieron como líderes de la India y EE UU respectivamente durante el primer mandato del magnate estadounidense entre y     Y fuera de la política llamó la atención la reacción del magnate Elon Musk quien ha apoyado expresamente a Trump en la campaña y se mostró emocionado en su red social X     El futuro será fantástico reza uno de los mensajes del propietario de SpaceX junto a la imagen de un cohete Starship de la compañía despegando desde una torre de lanzamiento  , 6 de noviembre de 2024,22
       Comienza la VI Muestra Internacional de Cine y Ciencia   ,   Un evento cinematográfico en el que tiene cabida cualquier trabajo relacionado con la ciencia y la divulgación científica y con entrada libre en ambos espacios La programación en todos los casos se inicia a las horas    La concejala de Cultura Noemí Méndez ha explicado que el objetivo de la muestra es promover la producción y la difusión de trabajos que fomenten los valores positivos y de progreso de la ciencia y tecnología y que sirvan de consulta para cualquier tipo de público    Se admite cualquier género cinematográfico La temática es totalmente libre y puede hacer referencia a investigaciones propias o ajenas temas candentes en la sociedad o comunidad científica pasiones científico técnicas personales conceptos básicos de ciencia hitos científicos personajes históricos la ciencia del futuro o pasado etcétera    Este festival es una iniciativa de Demolden Video Project galería que surge en en Santander con el objetivo de ofrecer visibilidad a artistas y obras relacionados con el medio audiovisual La respuesta a la convocatoria es cada año más favorable de manera que se presentan obras tanto nacionales como internacionales de gran calidad y reconocido prestigio ha destacado    El programa en el centro cultural Doctor Madrazo comienza hoy con los cortometrajes de ficción La noche dentro de Antonio Cuesta Scrollear después de Gaza es un acto de barbarie de Martín Emiliano Díaz Seis meses de David Navas Cañedo Escribiendo  de Pablo Olewski Ida de Javier Ideami y Pequeño de Meka Ribera Álvaro G Company    El jueves se proyectarán los cortometrajes de documental El libro de Mario de Daniel Chamorro Agroquímicos La vida en peligro de Víctor Manuel Méndez El triángulo redondo de Ricard Mamblona Guyulfo La cueva del dios Lobo de Nuria Vizcaíno y Siempre positivo de Nacho Solana    Finalmente el viernes se podrá ver el largometraje El mundo oscuro de Luis Miguel Ariza    Por su parte Espacio en Blanco acogerá dos largometrajes el sábado Huracanolitos de Maikel Jorge Pascual y el domingo Nalá de Florencia Romero  , 6 de noviembre de 2024 Actualizado el 06 11 2024,8
       El escritor murciano Antonio García Bermúdez gana el XVII Premio internacional Tristana de novela fantástica   ,   SANTANDER EUROPA PRESS     El joven escritor murciano Antonio García Bermúdez ha resultado ganador del XVII Premio internacional Tristana de novela fantástica con la obra U N I una distopía muy actual que se desarrolla en Madrid y que acerca al lector al universo de la inteligencia artificial con escritura ágil y lectura amable    Así lo ha anunciado la concejala de Cultura Noemí Méndez quien ha dado a conocer el fallo del jurado reunido en la tarde de ayer un acuerdo alcanzado por mayoría tras un animado debate    Según el acta del jurado la novela ganadora destaca por un lenguaje directo organizado en capítulos breves y organizados con pericia hasta el final de la historia Por su lenguaje y tema el jurado ha considerado además que es un texto que puede resultar de mucho interés para lectores jóvenes abriendo un nuevo punto de interés para el premio     El autor muestra un importante dominio de todo el entramado tecnológico de la misma manera que maneja con soltura la estructura de la narración con la utilización de secciones cortas que aportan agilidad a la historia y que trazan el camino para dar sentido a un final con el que la novela se abre despertando la curiosidad del lector ha subrayado Méndez    La responsable municipal ha destacado el éxito de esta edición la segunda más numerosa de la historia del certamen ya que se recibieron originales con presencia de todas las comunidades autónomas y de la mayor parte de los países de Latinoamérica así como de varios países europeos En el caso de España ha señalado la presencia de originales recibidos desde Madrid y en el internacional desde Argentina    Según ha explicado una comisión de lectura especializada definió nueve novelas finalistas sobre las que trabajó de manera detallada el jurado integrado por la escritora Espido Freire la novelista y periodista Berna González Harbour los novelistas Joan Manuel Gisbert y David Uclés y el editor José Ángel Zapatero en representación de Menoscuarto Ediciones la editorial que desde la segunda edición del concurso se encarga de la edición del texto ganador    El premio Tristana está dotado euros y la publicación de la novela en Menoscuarto Ediciones Su lanzamiento se producirá en la primavera de y se presentará de forma oficial en la Feria del Libro de Santander  , 7 de noviembre de 2024,8
       Un centenar de expertos internacionales se reunirán en el HUCA para hablar de cirugía aórtica compleja   ,   El Hospital Universitario Central de Asturias HUCA acogerá el Complex Aorta Symposium Oviedo CASO una de las citas científicas de mayor nivel europeo en el campo de la cirugía vascular y cardíaca Durante dos días un centenar de expertos nacionales e internacionales de más de prestigiosos centros de Europa Estados Unidos y China abordarán el manejo de la patología aórtica compleja    La cita que se celebrará jueves y viernes servirá para la puesta al día en innovación práctica clínica conocimiento y uso de las últimas tecnologías y dispositivos para garantizar el acceso a los mejores medios y resultados de pacientes con problemas complejos en la aorta    La larga experiencia del HUCA en el tratamiento endovascular del arco aórtico que incluye el uso de prótesis personalizadas así como los buenos resultados de los servicios de Cirugía Vascular y Cirugía Cardiaca han sido determinantes para la elección del centro asturiano como sede del congreso    El Servicio de Cirugía Vascular es un referente nacional que recibe pacientes de otros centros del país tanto para procedimientos de cirugía aórtica compleja abierta como para tratamiento endovascular del arco aórtico    El HUCA fue pionero hace dos años en la implantación de un arco aórtico completo un dispositivo de triple rama que se diseña y se fabrica a medida para cada paciente y permite el riego sanguíneo del cerebro y de los miembros superiores cuando se produce un aneurisma o una disección aórtica    Previamente en el hospital fue el primero del país en implantar las endoprótesis con ramas de arco aórtico personalizadas en las que se usa la impresión de prótesis en D Actualmente ya se realizan en algunos de los principales centros de España    La coordinación del simposio correrá a cargo de los doctores Manuel Alonso jefe del Servicio de Cirugía Vascular y Jacobo Silva jefe del Servicio de Cirugía Cardiaca Ademas habrá siete paneles de debate y más de medio centenar de ponencias sobre la aorta desde la imagen diagnóstica y los avances tecnológicos hasta la preparación preoperatoria y los cuidados postoperatorios    La patología de la aorta compleja es grave Aunque no es muy frecuente su prevalencia va en aumento por el envejecimiento de la población Sin embargo dos procesos con alta mortalidad cuando se manifiesta de forma súbita el síndrome aórtico y la disección aórtica afectan a un subgrupo de pacientes más jóvenes    Se estima una incidencia aproximada de tres casos por habitantes por año para la disección aórtica aguda y de seis para aneurismas toracoabdominales     Para el tratamiento de estas patologías es preciso disponer de una dotación tecnológica moderna y compleja Para hacerlo con garantías tenemos que contar con un amplio dispositivo humano con formación en técnicas muy avanzadas tanto en cirugía abierta como endovascular en todos los pasos del proceso La única forma de poder hacerse cargo del tratamiento global implica la coordinación y colaboración multidisciplinar con el objetivo de la excelencia ha explicado Manuel Alonso     La cirugía abierta sigue siendo el tratamiento de elección para la resolución de la patología del arco aórtico solo en casos de alto riesgo se pueden emplear otras opciones Sin embargo se ha avanzado mucho en técnicas menos invasivas El avance más importante es la utilización de procedimientos híbridos cirugía más endoprótesis en el mismo acto quirúrgico que simplifican la intervención la protección cerebral y de otros órganos así como el manejo postoperatorio Con estos cambios hemos mejorado mucho los resultados hoy en día ha detallado Jacobo Silva    En la jornada participarán especialistas de hospitales y universidades como Karolinska University Hospital Suecia University and ASST Spedali Civili Hospital of Brescia Italia St Mary s Hospital de Londres Reino Unido University Clinical Center of Serbia University Heart Center Hamburg Eppendorf Alemania Hôpital Marie Lannelongue Francia Umberto I Mauriziano Hospital de Turín Italia Keck Medical Center University of Southern California Estados Unidos Maastricht University Medical Center Países Bajos Munich Aortic Center Alemania entre otros    Entre los centros españoles destaca la participación del Hospital Clínic de Barcelona el Hospital Universitario Vall d Hebron Barcelona el Hospital Universitario Virgen del Rocío Sevilla el Hospital Universitario La Fe Valencia el Hospital Universitario Ramón y Cajal Madrid el Hospital Clínico Universitario de Valladolid y el Hospital Universitario Marqués de Valdecilla Cantabria     El gerente del Servicio de Salud del Principado Sespa Aquilino Alonso inaugurará el encuentro que en su cuarta edición se ha convertido en el congreso de mayor nivel científico sobre la arteria aorta en Europa  , 6 de noviembre de 2024 Actualizado el 06 11 2024,14
